_time,_start,_stop,_measurement,application_name,dev_eui,device_name,dr,frequency,f_cnt,rssi,snr
2025-02-12 15:06:47.253674+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,868100000,519,-117,-0.5
2025-02-12 15:06:52.243175+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,867900000,520,-125,-8.2
2025-02-12 15:06:57.248097+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,868100000,521,-123,-6.2
2025-02-12 15:07:07.286729+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,868100000,523,-116,0.6
2025-02-12 15:07:12.249519+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,867500000,524,-115,2.0
2025-02-12 15:07:17.241373+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,868100000,525,-113,4.2
2025-02-12 15:07:22.242134+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,867900000,526,-126,-9.4
2025-02-12 15:07:27.248682+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,868100000,527,-119,-1.5
2025-02-12 15:07:32.244229+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,867500000,528,-121,-3.6
2025-02-12 15:07:42.249459+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,867900000,530,-114,2.8
2025-02-12 15:07:47.249034+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,868100000,531,-122,-5.0
2025-02-12 15:07:52.243983+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,867500000,532,-123,-6.0
2025-02-12 15:07:57.248659+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,868100000,533,-113,3.7
2025-02-12 15:08:07.242782+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,868100000,535,-122,-4.7
2025-02-12 15:08:12.249347+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,867500000,536,-120,-2.5
2025-02-12 15:08:17.242549+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,868100000,537,-121,-3.7
2025-02-12 15:08:22.244955+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,867900000,538,-118,-0.9
2025-02-12 15:08:27.240617+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,868100000,539,-124,-6.5
